cardisprice,Model,Kilometer,fueltype,carfunc,Carbrand,Carmodel
539199.0,2017,11371.0,Petrol,Manual,Hyundai,Elite
427999.0,2015,44747.0,Petrol,Manual,Maruti,Swift
528199.0,2019,3555.0,Petrol,,Maruti,New
781499.0,2018,50987.0,Petrol,Manual,Hyundai,Verna
1053399.0,2018,16869.0,Petrol,Automatic,Hyundai,Verna
662199.0,2017,66188.0,Diesel,Manual,Ford,Ecosport
1206899.0,2019,24585.0,Diesel,Manual,Maruti,Ertiga
363999.0,2018,5701.0,Petrol,Manual,Hyundai,Eon
844099.0,2019,34404.0,Diesel,Manual,Maruti,Dzire
1060199.0,2018,60214.0,Petrol,Automatic,Hyundai,Verna
620799.0,2017,12910.0,Petrol,Manual,Hyundai,i20
777399.0,2018,29735.0,Diesel,Manual,Mahindra,TUV300
557999.0,2018,16228.0,Petrol,Automatic,Hyundai,Grand
714899.0,2017,47948.0,Diesel,Manual,Maruti,Vitara
387099.0,2014,19399.0,Petrol,Manual,Hyundai,Grand
885188.0,2020,15137.0,Diesel,Manual,Mahindra,Bolero
265099.0,2012,46917.0,Petrol,Manual,Volkswagen,Polo
473299.0,2016,32750.0,Petrol,Manual,Volkswagen,Ameo
334999.0,2015,53739.0,Petrol,Automatic,Maruti,Celerio
422999.0,2015,95918.0,Petrol,Manual,Maruti,Swift
575499.0,2017,116512.0,Petrol,Automatic,Maruti,Dzire
809199.0,2020,2963.0,Diesel,Manual,Hyundai,AURA
328999.0,2015,57492.0,Petrol,Manual,Maruti,Wagon
774399.0,2015,102938.0,Diesel,Manual,Hyundai,Creta
507999.0,2016,28761.0,Petrol,Manual,Hyundai,Elite
748899.0,2016,57521.0,Diesel,Manual,Maruti,Ertiga
563099.0,2016,82811.0,Diesel,Manual,Maruti,Ciaz
1520099.0,2019,22757.0,Diesel,Manual,Tata,Harrier
420699.0,2014,41980.0,Petrol,Manual,Hyundai,Xcent
1103799.0,2019,56556.0,Diesel,Manual,Tata,Hexa
749399.0,2018,12488.0,Petrol,,Ford,Ecosport
628199.0,2019,11270.0,Petrol,Manual,Maruti,Swift
919499.0,2021,5591.0,Petrol,Manual,Honda,WR-V
374299.0,2015,16048.0,Petrol,Manual,Hyundai,Grand
462099.0,2017,45922.0,Petrol,Manual,Hyundai,Xcent
307599.0,2017,16069.0,Petrol,Manual,Maruti,Alto
898799.0,2018,15511.0,Diesel,Manual,Maruti,Ciaz
1527199.0,2019,15611.0,Petrol,Automatic,Honda,Civic
834499.0,2018,29751.0,Petrol,Manual,Ford,Ecosport
704099.0,2018,28661.0,Petrol,Automatic,Maruti,Baleno
448199.0,2017,31123.0,Petrol,Manual,Hyundai,Xcent
306399.0,2018,9869.0,Petrol,Manual,Maruti,Alto
917499.0,2020,18943.0,Petrol,Manual,Maruti,Vitara
1116099.0,2018,36856.0,Petrol,Automatic,Hyundai,Verna
946499.0,2018,35944.0,Diesel,Automatic,Maruti,Vitara
414099.0,2014,66451.0,Petrol,Manual,Ford,Ecosport
763199.0,2016,78094.0,Diesel,Manual,Maruti,Ertiga
516499.0,2019,10067.0,Petrol,Manual,Maruti,New
237999.0,2010,85513.0,Petrol,Manual,Honda,Jazz
240399.0,2014,63171.0,Petrol,Manual,Hyundai,Eon
556999.0,2016,43981.0,Diesel,Manual,Maruti,Swift
627199.0,2020,1550.0,Petrol,Manual,Maruti,Swift
621799.0,2019,1875.0,Petrol,Manual,Maruti,Swift
808399.0,2018,31002.0,Petrol,Automatic,Maruti,Ciaz
319999.0,2017,29055.0,Petrol,Manual,Renault,Kwid
767899.0,2018,15112.0,Petrol,Automatic,Maruti,Ciaz
787299.0,2017,79817.0,Diesel,Manual,Maruti,Ertiga
396899.0,2014,57348.0,Diesel,Manual,Honda,Amaze
497999.0,2018,7307.0,Petrol,Automatic,Hyundai,NEW
262699.0,2012,41686.0,Petrol,Manual,Hyundai,i10
291099.0,2017,38365.0,Petrol,Manual,Maruti,Alto
595299.0,2016,13364.0,Petrol,Automatic,Maruti,Baleno
385899.0,2016,16024.0,Petrol,Automatic,Maruti,Celerio
1699799.0,2020,8149.0,Petrol,,MG,HECTOR
449699.0,2014,30601.0,Petrol,Manual,Maruti,Swift
411299.0,2015,35613.0,Petrol,Manual,Hyundai,Grand
342199.0,2013,56857.0,Petrol,Automatic,Honda,Brio
266799.0,2016,16709.0,Petrol,Manual,Maruti,Alto
661199.0,2015,49628.0,Diesel,Manual,Maruti,Ertiga
718099.0,2017,18019.0,Petrol,Manual,Tata,NEXON
324999.0,2014,59494.0,Petrol,Manual,Maruti,Wagon
826399.0,2020,,Petrol,Manual,Hyundai,VENUE
416299.0,2013,39859.0,Petrol,Manual,Maruti,Swift
394399.0,2016,8446.0,Petrol,Automatic,Maruti,Wagon
219699.0,2013,13809.0,Petrol,Manual,Hyundai,Eon
379299.0,2017,110993.0,Petrol,Manual,Maruti,Wagon
327499.0,2014,98080.0,Petrol,Manual,Maruti,Wagon
819199.0,2019,9365.0,Petrol,Manual,Mahindra,XUV
466999.0,2014,44165.0,Petrol,Manual,Ford,Ecosport
589399.0,2020,9595.0,Petrol,Manual,Maruti,New
1355199.0,2018,39905.0,Diesel,Automatic,Tata,Hexa
1297899.0,2019,24549.0,Petrol,Automatic,Hyundai,Creta
1503699.0,2019,12012.0,Diesel,Manual,Hyundai,Creta
489699.0,2018,2828.0,Petrol,Manual,Maruti,Wagon
450199.0,2018,35242.0,Petrol,Automatic,Maruti,Wagon
479399.0,2014,55486.0,Diesel,Manual,Ford,Ecosport
429399.0,2018,36831.0,Petrol,Manual,Maruti,Eeco
684899.0,2019,26749.0,Petrol,Automatic,Maruti,Swift
712699.0,2018,14122.0,Petrol,Manual,Maruti,Ciaz
534799.0,2016,69615.0,Petrol,Manual,Hyundai,Elite
761899.0,2018,8925.0,Petrol,Manual,Ford,Ecosport
462799.0,2019,4855.0,Petrol,Manual,Maruti,Eeco
396199.0,2019,3141.0,Petrol,Manual,Renault,Kwid
1051499.0,2019,10344.0,Petrol,Automatic,Maruti,Ertiga
381799.0,2019,4523.0,Petrol,Manual,Renault,Kwid
437099.0,2019,17595.0,Petrol,Automatic,Renault,Kwid
448999.0,2016,30912.0,Petrol,Manual,Hyundai,Grand
532299.0,2017,60665.0,Petrol,Manual,Maruti,Baleno
467299.0,2012,40145.0,Diesel,Manual,Maruti,Swift
576299.0,2016,20933.0,Petrol,Manual,Hyundai,i20
367199.0,2014,48309.0,Petrol,Manual,Maruti,Celerio
500099.0,2015,111167.0,Diesel,Manual,Maruti,Swift
520599.0,2017,16759.0,Petrol,Manual,Maruti,Swift
654999.0,2017,11775.0,Petrol,Manual,Hyundai,Elite
313999.0,2015,64611.0,Petrol,Manual,Maruti,Alto
336599.0,2015,9226.0,Petrol,Manual,Maruti,Alto
854099.0,2017,80900.0,Diesel,Manual,Maruti,S
260899.0,2015,32560.0,Petrol,Manual,Maruti,Alto
553299.0,2018,108532.0,Petrol,Manual,Maruti,Swift
463399.0,2018,20753.0,Petrol,Automatic,Maruti,Celerio
600399.0,2018,25115.0,Petrol,Manual,Maruti,Baleno
547899.0,2017,21954.0,Petrol,Manual,Maruti,Baleno
395299.0,2016,21454.0,Petrol,Manual,Ford,New
504299.0,2015,25274.0,Petrol,Manual,Hyundai,Verna
720999.0,2018,20282.0,Petrol,Manual,Ford,Ecosport
754699.0,2017,98197.0,Diesel,Manual,Maruti,Vitara
1195699.0,2020,22656.0,Petrol,Manual,KIA,SELTOS
516499.0,2014,80954.0,Petrol,Manual,Hyundai,Elite
416699.0,2017,28108.0,Petrol,Manual,Maruti,Swift
650999.0,2019,13922.0,Petrol,Automatic,Hyundai,GRAND
898399.0,2017,99380.0,Diesel,Manual,Tata,Hexa
1751499.0,2016,171099.0,Diesel,Automatic,Toyota,Fortuner
393599.0,2014,64208.0,Petrol,Manual,Maruti,Celerio
510299.0,2016,22594.0,Petrol,Manual,Hyundai,Elite
523899.0,2019,26538.0,Petrol,,Maruti,New
635599.0,2017,67513.0,Petrol,Automatic,Maruti,Dzire
406299.0,2014,33246.0,Petrol,Manual,Maruti,Celerio
628699.0,2017,19822.0,Petrol,Automatic,Maruti,Dzire
998999.0,2019,8924.0,Petrol,Manual,Hyundai,VENUE
1030799.0,2018,35363.0,Diesel,Manual,Hyundai,Verna
734099.0,2019,13240.0,Petrol,Manual,Hyundai,Elite
1203199.0,2019,12872.0,Petrol,Manual,KIA,SELTOS
1554799.0,2019,20989.0,Petrol,Automatic,KIA,SELTOS
634199.0,2018,19481.0,Petrol,Manual,Maruti,Baleno
323899.0,2013,21445.0,Petrol,Manual,Maruti,Ritz
504599.0,2017,24753.0,Petrol,Manual,Maruti,IGNIS
493599.0,2017,41139.0,Petrol,Manual,Maruti,IGNIS
627199.0,2016,51849.0,Diesel,Manual,Ford,Ecosport
622099.0,2018,14360.0,Petrol,Automatic,Nissan,Micra
637699.0,2018,23172.0,Petrol,Manual,Maruti,Baleno
428999.0,2015,63175.0,Petrol,Manual,Hyundai,Grand
609299.0,2017,25111.0,Petrol,Manual,Hyundai,Elite
437899.0,2015,24966.0,Petrol,Manual,Maruti,Swift
543499.0,2016,44528.0,Petrol,Manual,Hyundai,Elite
546499.0,2017,27268.0,Petrol,Manual,Hyundai,Grand
617999.0,2017,71489.0,Petrol,Automatic,Volkswagen,Polo
397199.0,2012,31372.0,Petrol,Manual,Hyundai,i20
928799.0,2018,28912.0,Diesel,Manual,Maruti,S
670499.0,2017,46304.0,Diesel,Manual,Maruti,Vitara
358199.0,2015,41406.0,Petrol,Manual,Honda,Brio
1022999.0,2018,17138.0,Petrol,Automatic,Honda,City
399999.0,2019,10737.0,Petrol,Manual,Renault,Kwid
595799.0,2017,19149.0,Petrol,Manual,Maruti,Baleno
573499.0,2016,84580.0,Petrol,Manual,Hyundai,Elite
369499.0,2014,54831.0,Diesel,Manual,Honda,Amaze
967499.0,2015,99881.0,Diesel,Automatic,Volkswagen,Jetta
391399.0,2016,51815.0,Petrol,Automatic,Maruti,Celerio
395999.0,2016,95276.0,Petrol,Automatic,Maruti,Celerio
465699.0,2014,89794.0,Diesel,Manual,Maruti,Swift
370399.0,2012,94468.0,Petrol,Manual,Hyundai,i20
726199.0,2017,24367.0,Diesel,Manual,Maruti,Vitara
822399.0,2017,62533.0,Diesel,Manual,Maruti,Ertiga
622199.0,2017,10530.0,Petrol,Manual,Maruti,Baleno
387199.0,2015,30487.0,Petrol,Manual,Honda,Brio
683699.0,2017,10720.0,Petrol,Manual,Ford,Ecosport
618399.0,2017,18994.0,Petrol,Manual,Maruti,Baleno
408899.0,2016,85812.0,Petrol,Manual,Maruti,Celerio
535999.0,2017,14505.0,Petrol,Manual,Maruti,Swift
402899.0,2014,52072.0,Petrol,Manual,Hyundai,Grand
414099.0,2016,33565.0,Petrol,Manual,Hyundai,Grand
400799.0,2016,15805.0,Petrol,Manual,Honda,Brio
1969399.0,2020,2787.0,Petrol,,KIA,SELTOS
528199.0,2013,74296.0,Diesel,Manual,Maruti,Swift
463799.0,2016,46758.0,Petrol,Manual,Hyundai,Grand
603999.0,2018,9439.0,Petrol,Manual,Maruti,Baleno
561499.0,2018,11321.0,Petrol,Automatic,Maruti,IGNIS
787499.0,2019,67109.0,Diesel,Manual,Maruti,Vitara
1038099.0,2020,7261.0,Diesel,Manual,Ford,Ecosport
483599.0,2019,7547.0,Petrol,Automatic,Renault,Kwid
383699.0,2016,59288.0,Petrol,Automatic,Maruti,Wagon
419599.0,2016,39682.0,Petrol,Manual,Maruti,Celerio
1311699.0,2017,34849.0,Petrol,Automatic,Toyota,Corolla
804599.0,2019,42680.0,Diesel,Manual,Maruti,Vitara
695599.0,2019,10458.0,Petrol,Manual,Maruti,Baleno
918499.0,2018,35579.0,Diesel,Automatic,Maruti,Vitara
